YEAR,left,right,Cumulative_Left,Cumulative_Right
1950,0,4,0,4
1951,1,3,1,7
1952,1,3,2,10
1953,0,4,2,14
1954,1,3,3,17
1955,0,4,3,21
1956,0,4,3,25
1957,0,4,3,29
1958,0,4,3,33
1959,1,3,4,36
1960,3,1,7,37
1961,1,3,8,40
1962,4,0,12,40
1963,0,4,12,44
1964,0,4,12,48
1965,0,4,12,52
1966,1,3,13,55
1967,0,4,13,59
1968,1,3,14,62
1969,4,0,18,62
1970,0,4,18,66
1971,0,4,18,70
1972,0,4,18,74
1973,0,4,18,78
1974,3,1,21,79
1975,1,3,22,82
1976,1,3,23,85
1977,3,2,26,87
1978,2,2,28,89
1979,2,2,30,91
1980,1,3,31,94
1981,2,2,33,96
1982,2,2,35,98
1983,2,2,37,100
1984,2,2,39,102
1985,0,4,39,106
1986,0,3,39,109
1987,0,4,39,113
1988,0,4,39,117
1989,0,4,39,121
1990,1,3,40,124
1991,0,4,40,128
1992,0,4,40,132
1993,0,4,40,136
1994,0,4,40,140
1995,1,3,41,143
1996,0,4,41,147
1997,0,4,41,151
1998,1,3,42,154
1999,0,4,42,158
2000,0,4,42,162
2001,1,3,43,165
2002,0,4,43,169
2003,0,4,43,173
2004,0,4,43,177
2005,1,3,44,180
2006,1,3,45,183
2007,1,3,46,186
2008,2,2,48,188
2009,1,3,49,191
2010,3,1,52,192
2011,1,3,53,195
2012,1,3,54,198
2013,2,2,56,200
2014,1,3,57,203
2015,0,4,57,207
2016,0,4,57,211
2017,2,2,59,213
2018,1,3,60,216
2019,2,2,62,218
2020,1,2,63,220
2021,0,4,63,224
2022,2,2,65,226
2023,0,1,65,227